location,year,plot,block,variety,inoculum,inocType,isolate,dt,odate,dap,syInc_dy,syinc_cum,myInc_obs,myInc_cum,myInc_dy,incAll4_dy,incAll4_cum,incAll4_obs,syInc_obs,germ_dy/dt,sy_dy/dt,can_cover
Live Oak,2019,108,1,GA06G,Scl-JA25,Scl,JAMA225,13,8/22/2019,92,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,108,1,GA06G,Scl-JA25,Scl,JAMA225,13,9/4/2019,105,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,108,1,GA06G,Scl-JA25,Scl,JAMA225,14,9/18/2019,119,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,109,1,TUF297,Cont-Grn,G_c,0,44,7/5/2019,44,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,109,1,TUF297,Cont-Grn,G_c,0,5,7/10/2019,49,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,109,1,TUF297,Cont-Grn,G_c,0,14,7/24/2019,63,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,109,1,TUF297,Cont-Grn,G_c,0,16,8/9/2019,79,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,109,1,TUF297,Cont-Grn,G_c,0,13,8/22/2019,92,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,109,1,TUF297,Cont-Grn,G_c,0,13,9/4/2019,105,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,109,1,TUF297,Cont-Grn,G_c,0,14,9/18/2019,119,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,110,1,TUF297,Scl-JA25,Scl,JAMA225,44,7/5/2019,44,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,110,1,TUF297,Scl-JA25,Scl,JAMA225,5,7/10/2019,49,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,110,1,TUF297,Scl-JA25,Scl,JAMA225,14,7/24/2019,63,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,110,1,TUF297,Scl-JA25,Scl,JAMA225,16,8/9/2019,79,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,110,1,TUF297,Scl-JA25,Scl,JAMA225,13,8/22/2019,92,10,10,0,0,0,10,10,10,10,0,0.769230769,
Live Oak,2019,110,1,TUF297,Scl-JA25,Scl,JAMA225,13,9/4/2019,105,5,15,15,15,15,5,15,15,15,1.153846154,0.384615385,
Live Oak,2019,110,1,TUF297,Scl-JA25,Scl,JAMA225,14,9/18/2019,119,0,15,5,20,5,5,20,5,0,0.357142857,0,
Live Oak,2019,111,1,TUF297,Scl-LE48,Scl,LE48,44,7/5/2019,44,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,111,1,TUF297,Scl-LE48,Scl,LE48,5,7/10/2019,49,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,111,1,TUF297,Scl-LE48,Scl,LE48,14,7/24/2019,63,45,45,55,55,55,55,55,55,45,3.928571429,3.214285714,
Live Oak,2019,111,1,TUF297,Scl-LE48,Scl,LE48,16,8/9/2019,79,0,45,5,60,5,5,60,20,15,0.3125,0,
Live Oak,2019,111,1,TUF297,Scl-LE48,Scl,LE48,13,8/22/2019,92,0,45,0,60,0,0,60,0,0,0,0,
Live Oak,2019,111,1,TUF297,Scl-LE48,Scl,LE48,13,9/4/2019,105,5,50,5,60,0,0,60,5,5,0,0.384615385,
Live Oak,2019,111,1,TUF297,Scl-LE48,Scl,LE48,14,9/18/2019,119,10,60,10,70,10,10,70,10,10,0.714285714,0.714285714,
Live Oak,2019,112,1,TUF297,Grn-MA22,Grn,MA22,44,7/5/2019,44,10,10,10,10,10,10,10,10,10,0.227272727,0.227272727,
Live Oak,2019,112,1,TUF297,Grn-MA22,Grn,MA22,5,7/10/2019,49,0,10,10,15,5,5,15,10,0,1,0,
Live Oak,2019,112,1,TUF297,Grn-MA22,Grn,MA22,14,7/24/2019,63,35,45,55,55,40,40,55,55,45,2.857142857,2.5,
Live Oak,2019,112,1,TUF297,Grn-MA22,Grn,MA22,16,8/9/2019,79,15,60,40,75,20,20,75,40,30,1.25,0.9375,
Live Oak,2019,112,1,TUF297,Grn-MA22,Grn,MA22,13,8/22/2019,92,0,60,0,75,0,0,75,0,0,0,0,
Live Oak,2019,112,1,TUF297,Grn-MA22,Grn,MA22,13,9/4/2019,105,25,85,25,75,0,15,90,40,40,0,1.923076923,
Live Oak,2019,112,1,TUF297,Grn-MA22,Grn,MA22,14,9/18/2019,119,0,85,0,75,0,0,90,5,5,0,0,
Live Oak,2019,113,1,TUF297,Grn-JA25,Grn,JAMA225,44,7/5/2019,44,10,10,5,5,5,10,10,10,10,0.113636364,0.227272727,
Live Oak,2019,113,1,TUF297,Grn-JA25,Grn,JAMA225,5,7/10/2019,49,0,10,0,5,0,0,10,0,0,0,0,
Live Oak,2019,113,1,TUF297,Grn-JA25,Grn,JAMA225,14,7/24/2019,63,20,30,25,30,25,20,30,25,25,1.785714286,1.428571429,
Live Oak,2019,113,1,TUF297,Grn-JA25,Grn,JAMA225,16,8/9/2019,79,5,35,5,35,5,10,40,15,10,0.3125,0.3125,
Live Oak,2019,113,1,TUF297,Grn-JA25,Grn,JAMA225,13,8/22/2019,92,10,45,0,35,0,10,50,10,10,0,0.769230769,
Live Oak,2019,113,1,TUF297,Grn-JA25,Grn,JAMA225,13,9/4/2019,105,20,65,0,35,0,20,70,40,40,0,1.538461538,
Live Oak,2019,113,1,TUF297,Grn-JA25,Grn,JAMA225,14,9/18/2019,119,10,75,0,35,0,10,80,10,10,0,0.714285714,
Live Oak,2019,114,1,TUF297,Grn-LE48,Grn,LE48,44,7/5/2019,44,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,114,1,TUF297,Grn-LE48,Grn,LE48,5,7/10/2019,49,5,5,5,5,5,10,10,10,5,1,1,
Live Oak,2019,114,1,TUF297,Grn-LE48,Grn,LE48,14,7/24/2019,63,60,65,55,60,55,65,75,70,60,3.928571429,4.285714286,
Live Oak,2019,114,1,TUF297,Grn-LE48,Grn,LE48,16,8/9/2019,79,30,95,0,60,0,20,95,90,90,0,1.875,
Live Oak,2019,114,1,TUF297,Grn-LE48,Grn,LE48,13,8/22/2019,92,0,95,0,60,0,0,95,55,55,0,0,
Live Oak,2019,114,1,TUF297,Grn-LE48,Grn,LE48,13,9/4/2019,105,5,100,25,75,15,5,100,55,55,1.153846154,0.384615385,
Live Oak,2019,114,1,TUF297,Grn-LE48,Grn,LE48,14,9/18/2019,119,0,100,10,85,10,0,100,65,65,0.714285714,0,
Live Oak,2019,115,1,TUF297,Control,Con,0,44,7/5/2019,44,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,115,1,TUF297,Control,Con,0,5,7/10/2019,49,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,115,1,TUF297,Control,Con,0,14,7/24/2019,63,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,115,1,TUF297,Control,Con,0,16,8/9/2019,79,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,115,1,TUF297,Control,Con,0,13,8/22/2019,92,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,115,1,TUF297,Control,Con,0,13,9/4/2019,105,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,115,1,TUF297,Control,Con,0,14,9/18/2019,119,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,116,1,TUF297,Scl-MA22,Scl,MA22,44,7/5/2019,44,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,116,1,TUF297,Scl-MA22,Scl,MA22,5,7/10/2019,49,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,116,1,TUF297,Scl-MA22,Scl,MA22,14,7/24/2019,63,0,0,5,5,5,5,5,5,0,0.357142857,0,
Live Oak,2019,116,1,TUF297,Scl-MA22,Scl,MA22,16,8/9/2019,79,0,0,0,5,0,0,5,0,0,0,0,
Live Oak,2019,116,1,TUF297,Scl-MA22,Scl,MA22,13,8/22/2019,92,5,5,0,5,0,5,10,5,5,0,0.384615385,
Live Oak,2019,116,1,TUF297,Scl-MA22,Scl,MA22,13,9/4/2019,105,5,10,5,10,5,10,20,10,5,0.384615385,0.384615385,
Live Oak,2019,116,1,TUF297,Scl-MA22,Scl,MA22,14,9/18/2019,119,45,55,5,15,5,45,65,45,45,0.357142857,3.214285714,
Live Oak,2019,201,2,GA06G,Control,Con,0,44,7/5/2019,44,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,201,2,GA06G,Control,Con,0,5,7/10/2019,49,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,201,2,GA06G,Control,Con,0,14,7/24/2019,63,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,201,2,GA06G,Control,Con,0,16,8/9/2019,79,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,201,2,GA06G,Control,Con,0,13,8/22/2019,92,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,201,2,GA06G,Control,Con,0,13,9/4/2019,105,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,201,2,GA06G,Control,Con,0,14,9/18/2019,119,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,202,2,GA06G,Grn-JA25,Grn,JAMA225,44,7/5/2019,44,30,30,20,20,20,30,30,30,30,0.454545455,0.681818182,
Live Oak,2019,202,2,GA06G,Grn-JA25,Grn,JAMA225,5,7/10/2019,49,10,40,10,20,0,10,40,25,25,0,2,
Live Oak,2019,202,2,GA06G,Grn-JA25,Grn,JAMA225,14,7/24/2019,63,20,60,40,50,30,25,65,65,60,2.142857143,1.428571429,
Live Oak,2019,202,2,GA06G,Grn-JA25,Grn,JAMA225,16,8/9/2019,79,20,80,25,60,10,15,80,65,65,0.625,1.25,
Live Oak,2019,202,2,GA06G,Grn-JA25,Grn,JAMA225,13,8/22/2019,92,10,90,0,60,0,10,90,35,35,0,0.769230769,
Live Oak,2019,202,2,GA06G,Grn-JA25,Grn,JAMA225,13,9/4/2019,105,5,95,20,80,20,5,95,35,35,1.538461538,0.384615385,
Live Oak,2019,202,2,GA06G,Grn-JA25,Grn,JAMA225,14,9/18/2019,119,5,100,20,85,5,5,100,65,65,0.357142857,0.357142857,
Live Oak,2019,203,2,GA06G,Cont-Grn,G_c,0,44,7/5/2019,44,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,203,2,GA06G,Cont-Grn,G_c,0,5,7/10/2019,49,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,203,2,GA06G,Cont-Grn,G_c,0,14,7/24/2019,63,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,203,2,GA06G,Cont-Grn,G_c,0,16,8/9/2019,79,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,203,2,GA06G,Cont-Grn,G_c,0,13,8/22/2019,92,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,203,2,GA06G,Cont-Grn,G_c,0,13,9/4/2019,105,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,203,2,GA06G,Cont-Grn,G_c,0,14,9/18/2019,119,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,204,2,GA06G,Grn-LE48,Grn,LE48,44,7/5/2019,44,10,10,10,10,10,15,15,15,10,0.227272727,0.227272727,
Live Oak,2019,204,2,GA06G,Grn-LE48,Grn,LE48,5,7/10/2019,49,5,15,10,20,10,10,25,10,5,2,1,
Live Oak,2019,204,2,GA06G,Grn-LE48,Grn,LE48,14,7/24/2019,63,60,75,80,80,60,60,85,80,70,4.285714286,4.285714286,
Live Oak,2019,204,2,GA06G,Grn-LE48,Grn,LE48,16,8/9/2019,79,20,95,20,85,5,10,95,90,90,0.3125,1.25,
Live Oak,2019,204,2,GA06G,Grn-LE48,Grn,LE48,13,8/22/2019,92,0,95,0,85,0,0,95,45,45,0,0,
Live Oak,2019,204,2,GA06G,Grn-LE48,Grn,LE48,13,9/4/2019,105,0,95,20,85,0,0,95,45,45,0,0,
Live Oak,2019,204,2,GA06G,Grn-LE48,Grn,LE48,14,9/18/2019,119,0,95,0,85,0,0,95,15,15,0,0,
Live Oak,2019,205,2,GA06G,Scl-LE48,Scl,LE48,44,7/5/2019,44,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,205,2,GA06G,Scl-LE48,Scl,LE48,5,7/10/2019,49,0,0,10,10,10,10,10,10,0,2,0,
Live Oak,2019,205,2,GA06G,Scl-LE48,Scl,LE48,14,7/24/2019,63,75,75,85,85,75,75,85,85,75,5.357142857,5.357142857,
Live Oak,2019,205,2,GA06G,Scl-LE48,Scl,LE48,16,8/9/2019,79,15,90,75,90,5,5,90,85,85,0.3125,0.9375,
Live Oak,2019,205,2,GA06G,Scl-LE48,Scl,LE48,13,8/22/2019,92,0,90,0,90,0,0,90,25,25,0,0,
Live Oak,2019,205,2,GA06G,Scl-LE48,Scl,LE48,13,9/4/2019,105,0,90,15,90,0,0,90,30,30,0,0,
Live Oak,2019,205,2,GA06G,Scl-LE48,Scl,LE48,14,9/18/2019,119,0,90,5,90,0,0,90,25,25,0,0,
Live Oak,2019,206,2,GA06G,Grn-MA22,Grn,MA22,44,7/5/2019,44,0,0,5,5,5,5,5,5,0,0.113636364,0,
Live Oak,2019,206,2,GA06G,Grn-MA22,Grn,MA22,5,7/10/2019,49,10,10,5,10,5,10,15,10,10,1,2,
Live Oak,2019,206,2,GA06G,Grn-MA22,Grn,MA22,14,7/24/2019,63,30,40,40,40,30,25,40,40,40,2.142857143,2.142857143,
Live Oak,2019,206,2,GA06G,Grn-MA22,Grn,MA22,16,8/9/2019,79,50,90,65,75,35,50,90,90,90,2.1875,3.125,
Live Oak,2019,206,2,GA06G,Grn-MA22,Grn,MA22,13,8/22/2019,92,0,90,0,75,0,0,90,50,50,0,0,
Live Oak,2019,206,2,GA06G,Grn-MA22,Grn,MA22,13,9/4/2019,105,0,90,20,75,0,0,90,70,65,0,0,
Live Oak,2019,206,2,GA06G,Grn-MA22,Grn,MA22,14,9/18/2019,119,10,100,10,80,5,10,100,65,65,0.357142857,0.714285714,
Live Oak,2019,207,2,GA06G,Scl-JA25,Scl,JAMA225,44,7/5/2019,44,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,207,2,GA06G,Scl-JA25,Scl,JAMA225,5,7/10/2019,49,0,0,5,5,5,5,5,5,0,1,0,
Live Oak,2019,207,2,GA06G,Scl-JA25,Scl,JAMA225,14,7/24/2019,63,0,0,0,5,0,0,5,0,0,0,0,
Live Oak,2019,207,2,GA06G,Scl-JA25,Scl,JAMA225,16,8/9/2019,79,0,0,0,5,0,0,5,0,0,0,0,
Live Oak,2019,207,2,GA06G,Scl-JA25,Scl,JAMA225,13,8/22/2019,92,15,15,0,5,0,15,20,15,15,0,1.153846154,
Live Oak,2019,207,2,GA06G,Scl-JA25,Scl,JAMA225,13,9/4/2019,105,10,25,10,15,10,10,30,20,20,0.769230769,0.769230769,
Live Oak,2019,207,2,GA06G,Scl-JA25,Scl,JAMA225,14,9/18/2019,119,0,25,0,15,0,0,30,0,0,0,0,
Live Oak,2019,208,2,GA06G,Scl-MA22,Scl,MA22,44,7/5/2019,44,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,208,2,GA06G,Scl-MA22,Scl,MA22,5,7/10/2019,49,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,208,2,GA06G,Scl-MA22,Scl,MA22,14,7/24/2019,63,10,10,30,30,30,30,30,30,10,2.142857143,0.714285714,
Live Oak,2019,208,2,GA06G,Scl-MA22,Scl,MA22,16,8/9/2019,79,0,10,0,30,0,0,30,0,0,0,0,
Live Oak,2019,208,2,GA06G,Scl-MA22,Scl,MA22,13,8/22/2019,92,0,10,0,30,0,0,30,0,0,0,0,
Live Oak,2019,208,2,GA06G,Scl-MA22,Scl,MA22,13,9/4/2019,105,0,10,5,30,0,0,30,5,5,0,0,
Live Oak,2019,208,2,GA06G,Scl-MA22,Scl,MA22,14,9/18/2019,119,5,15,5,35,5,5,35,5,5,0.357142857,0.357142857,
Live Oak,2019,209,2,TUF297,Grn-LE48,Grn,LE48,44,7/5/2019,44,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,209,2,TUF297,Grn-LE48,Grn,LE48,5,7/10/2019,49,0,0,20,20,20,20,20,20,0,4,0,
Live Oak,2019,209,2,TUF297,Grn-LE48,Grn,LE48,14,7/24/2019,63,15,15,40,50,30,30,50,40,15,2.142857143,1.071428571,
Live Oak,2019,209,2,TUF297,Grn-LE48,Grn,LE48,16,8/9/2019,79,0,15,50,70,20,0,50,0,0,1.25,0,
Live Oak,2019,209,2,TUF297,Grn-LE48,Grn,LE48,13,8/22/2019,92,0,15,5,75,5,0,50,0,0,0.384615385,0,
Live Oak,2019,209,2,TUF297,Grn-LE48,Grn,LE48,13,9/4/2019,105,30,45,5,75,0,15,65,40,35,0,2.307692308,
Live Oak,2019,209,2,TUF297,Grn-LE48,Grn,LE48,14,9/18/2019,119,15,60,20,75,0,10,75,45,45,0,1.071428571,
Live Oak,2019,210,2,TUF297,Scl-JA25,Scl,JAMA225,44,7/5/2019,44,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,210,2,TUF297,Scl-JA25,Scl,JAMA225,5,7/10/2019,49,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,210,2,TUF297,Scl-JA25,Scl,JAMA225,14,7/24/2019,63,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,210,2,TUF297,Scl-JA25,Scl,JAMA225,16,8/9/2019,79,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,210,2,TUF297,Scl-JA25,Scl,JAMA225,13,8/22/2019,92,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,210,2,TUF297,Scl-JA25,Scl,JAMA225,13,9/4/2019,105,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,210,2,TUF297,Scl-JA25,Scl,JAMA225,14,9/18/2019,119,10,10,0,0,0,10,10,10,10,0,0.714285714,
Live Oak,2019,211,2,TUF297,Grn-MA22,Grn,MA22,44,7/5/2019,44,0,0,15,15,15,15,15,15,0,0.340909091,0,
Live Oak,2019,211,2,TUF297,Grn-MA22,Grn,MA22,5,7/10/2019,49,0,0,5,20,5,5,20,5,0,1,0,
Live Oak,2019,211,2,TUF297,Grn-MA22,Grn,MA22,14,7/24/2019,63,30,30,30,45,25,25,45,30,30,1.785714286,2.142857143,
Live Oak,2019,211,2,TUF297,Grn-MA22,Grn,MA22,16,8/9/2019,79,0,30,25,60,15,0,45,0,0,0.9375,0,
Live Oak,2019,211,2,TUF297,Grn-MA22,Grn,MA22,13,8/22/2019,92,15,45,0,60,0,10,55,20,20,0,1.153846154,
Live Oak,2019,211,2,TUF297,Grn-MA22,Grn,MA22,13,9/4/2019,105,20,65,0,60,0,15,70,50,50,0,1.538461538,
Live Oak,2019,211,2,TUF297,Grn-MA22,Grn,MA22,14,9/18/2019,119,20,85,0,60,0,20,90,60,60,0,1.428571429,
Live Oak,2019,212,2,TUF297,Scl-LE48,Scl,LE48,44,7/5/2019,44,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,212,2,TUF297,Scl-LE48,Scl,LE48,5,7/10/2019,49,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,212,2,TUF297,Scl-LE48,Scl,LE48,14,7/24/2019,63,20,20,60,60,60,60,60,60,20,4.285714286,1.428571429,
Live Oak,2019,212,2,TUF297,Scl-LE48,Scl,LE48,16,8/9/2019,79,0,20,0,60,0,0,60,0,0,0,0,
Live Oak,2019,212,2,TUF297,Scl-LE48,Scl,LE48,13,8/22/2019,92,0,20,0,60,0,0,60,0,0,0,0,
Live Oak,2019,212,2,TUF297,Scl-LE48,Scl,LE48,13,9/4/2019,105,5,25,5,60,0,5,65,10,5,0,0.384615385,
Live Oak,2019,212,2,TUF297,Scl-LE48,Scl,LE48,14,9/18/2019,119,40,65,20,70,10,20,85,45,45,0.714285714,2.857142857,
Live Oak,2019,213,2,TUF297,Cont-Grn,G_c,0,44,7/5/2019,44,0,0,0,0,0,0,0,0,0,0,0,
